source,target,count
right_upper_lobe_primary_4,liver_9,2
liver_9,right_upper_lobe_primary_4,1
right_upper_lobe_primary_4,right_occipital_lobe,1
right_upper_lobe_primary_4,adrenal_adjacent_lymph_node,1
l4_vertebra_1,left_adrenal_1,1
liver_5,liver_7,1
right_upper_lobe_primary_4,4th_rib_1,3
4th_rib_1,right_upper_lobe_primary_4,1
left_retroperitoneal_lymph_node,left_adrenal_relapse,1
right_upper_lobe_primary_4,left_frontal_lobe1,2
right_upper_lobe_primary_4,left_adrenal_relapse,1
left_adrenal_relapse,l4_vertebra_1,1
left_adrenal_relapse,retroperitoneal_lymph_node,1
retroperitoneal_lymph_node,left_retroperitoneal_lymph_node,1
left_retroperitoneal_lymph_node,right_adrenal_1,1
left_retroperitoneal_lymph_node,left_adrenal_1,1
liver_9,liver_2,1
liver_9,liver_8,1
liver_9,liver_4,1
liver_9,liver_6,1
liver_9,liver_5,1
liver_2,liver_7,1
liver_2,liver_3,1
liver_6,liver_10,1
